,visitor_score,home_score,MOV,mov
0,7,9,2,-2
1,3,6,3,-3
2,0,6,6,-6
3,8,4,4,4
4,5,3,2,2
5,4,5,1,-1
6,3,6,3,-3
7,5,16,11,-11
8,11,6,5,5
9,5,2,3,3
10,5,3,2,2
11,1,7,6,-6
12,5,11,6,-6
13,11,1,10,10
14,5,3,2,2
15,6,4,2,2
16,1,2,1,-1
17,3,4,1,-1
18,6,3,3,3
19,3,0,3,3
20,5,7,2,-2
21,4,2,2,2
22,3,1,2,2
23,5,3,2,2
24,2,3,1,-1
25,5,6,1,-1
26,3,4,1,-1
27,7,4,3,3
28,3,5,2,-2
29,2,3,1,-1
30,6,3,3,3
31,10,4,6,6
32,4,5,1,-1
33,7,6,1,1
34,3,4,1,-1
35,8,4,4,4
36,10,1,9,9
37,5,3,2,2
38,7,3,4,4
39,2,6,4,-4
40,5,4,1,1
41,3,1,2,2
42,2,0,2,2
43,1,2,1,-1
44,3,1,2,2
45,10,2,8,8
46,5,6,1,-1
47,10,4,6,6
48,7,6,1,1
49,4,3,1,1
50,2,5,3,-3
51,3,4,1,-1
52,3,9,6,-6
53,2,6,4,-4
54,1,9,8,-8
55,4,5,1,-1
56,0,7,7,-7
57,7,3,4,4
58,8,0,8,8
59,5,4,1,1
60,2,8,6,-6
61,4,5,1,-1
62,3,4,1,-1
63,3,0,3,3
64,2,1,1,1
65,2,4,2,-2
66,8,3,5,5
67,10,0,10,10
68,4,3,1,1
69,6,3,3,3
70,4,3,1,1
71,5,4,1,1
72,6,7,1,-1
73,9,6,3,3
74,7,1,6,6
75,4,3,1,1
76,7,2,5,5
77,9,4,5,5
78,5,2,3,3
79,4,5,1,-1
80,8,9,1,-1
81,8,6,2,2
82,7,3,4,4
83,2,9,7,-7
84,6,15,9,-9
85,1,3,2,-2
86,2,4,2,-2
87,5,6,1,-1
88,2,1,1,1
89,7,8,1,-1
90,5,2,3,3
91,3,6,3,-3
92,5,1,4,4
93,4,2,2,2
94,10,5,5,5
95,2,5,3,-3
96,4,0,4,4
97,8,7,1,1
98,5,9,4,-4
99,6,5,1,1
100,4,7,3,-3
101,2,17,15,-15
102,3,9,6,-6
103,0,5,5,-5
104,8,6,2,2
105,5,6,1,-1
106,5,7,2,-2
107,0,3,3,-3
108,2,4,2,-2
109,3,11,8,-8
110,10,8,2,2
111,5,9,4,-4
112,6,5,1,1
113,9,1,8,8
114,6,2,4,4
115,7,3,4,4
116,6,3,3,3
117,5,3,2,2
118,2,4,2,-2
119,11,1,10,10
120,6,7,1,-1
121,5,6,1,-1
122,3,5,2,-2
123,9,7,2,2
124,7,14,7,-7
125,6,1,5,5
126,0,6,6,-6
127,1,2,1,-1
128,2,3,1,-1
129,0,8,8,-8
130,2,6,4,-4
131,2,6,4,-4
132,3,7,4,-4
133,8,6,2,2
134,5,0,5,5
135,2,10,8,-8
136,5,6,1,-1
137,7,5,2,2
138,6,2,4,4
139,5,1,4,4
140,3,1,2,2
141,2,6,4,-4
142,3,10,7,-7
143,1,5,4,-4
144,2,4,2,-2
145,3,11,8,-8
146,7,5,2,2
147,5,9,4,-4
148,2,7,5,-5
149,8,10,2,-2
150,6,8,2,-2
151,3,4,1,-1
152,3,6,3,-3
153,3,4,1,-1
154,3,5,2,-2
155,6,5,1,1
156,2,3,1,-1
157,5,6,1,-1
158,3,7,4,-4
159,3,4,1,-1
160,2,4,2,-2
161,6,3,3,3
162,4,0,4,4
163,4,3,1,1
164,9,0,9,9
165,5,1,4,4
166,4,5,1,-1
167,0,5,5,-5
168,2,1,1,1
169,0,8,8,-8
170,7,1,6,6
171,4,7,3,-3
172,10,5,5,5
173,2,5,3,-3
174,8,3,5,5
175,4,2,2,2
176,3,1,2,2
177,3,4,1,-1
178,3,2,1,1
179,1,2,1,-1
180,2,0,2,2
181,3,5,2,-2
182,3,5,2,-2
183,3,5,2,-2
184,11,7,4,4
185,0,2,2,-2
186,8,2,6,6
187,2,8,6,-6
188,1,8,7,-7
189,4,2,2,2
190,1,6,5,-5
191,2,3,1,-1
192,2,5,3,-3
193,5,6,1,-1
194,6,7,1,-1
195,1,4,3,-3
196,1,5,4,-4
197,7,3,4,4
198,1,3,2,-2
199,3,4,1,-1
200,7,9,2,-2
201,3,4,1,-1
202,9,11,2,-2
203,5,7,2,-2
204,0,4,4,-4
205,8,1,7,7
206,0,1,1,-1
